,Loss
0,150.2259063720703
1,117.37091064453125
2,106.34159851074219
3,98.17183685302734
4,96.83560180664062
5,95.46308898925781
6,117.3585433959961
7,103.07685089111328
8,111.98933410644531
9,87.86766052246094
10,93.62100982666016
11,103.60887908935547
12,97.20292663574219
13,102.59735107421875
14,71.30459594726562
15,82.60885620117188
16,107.95602416992188
17,78.45005798339844
18,79.17073059082031
19,114.69860076904297
20,100.88583374023438
21,64.25372314453125
22,82.41475677490234
23,107.00727844238281
24,115.41653442382812
25,63.55229568481445
26,85.53437042236328
27,75.64053344726562
28,93.69896697998047
29,64.4865951538086
30,87.6293716430664
31,86.05058288574219
32,59.23392105102539
33,62.548362731933594
34,82.69895935058594
35,70.66020202636719
36,78.66313934326172
37,71.67634582519531
38,72.91734313964844
39,80.79693603515625
40,84.73532104492188
41,82.64622497558594
42,61.286842346191406
43,93.18060302734375
44,76.57878112792969
45,73.40557861328125
46,99.62904357910156
47,107.31534576416016
48,70.58136749267578
49,74.71680450439453
50,76.2895736694336
51,80.41667175292969
52,87.33667755126953
53,88.06089782714844
54,73.89411163330078
55,67.91511535644531
56,64.93925476074219
57,83.87933349609375
58,62.246673583984375
59,77.52906799316406
60,64.4032974243164
61,70.20536804199219
62,84.93192291259766
63,72.06363677978516
64,78.50205993652344
65,80.91189575195312
66,83.7574462890625
67,64.91617584228516
68,97.74198913574219
69,74.09677124023438
70,69.23663330078125
71,77.1792221069336
72,78.32839965820312
73,108.0203857421875
74,98.92070007324219
75,83.89613342285156
76,72.81440734863281
77,92.84124755859375
78,91.10037994384766
79,88.8022232055664
80,83.70116424560547
81,83.02295684814453
82,74.02680969238281
83,88.87789916992188
84,68.621826171875
85,69.26327514648438
86,88.33527374267578
87,82.70008087158203
88,95.55522155761719
89,91.36444091796875
90,78.02274322509766
91,59.38881301879883
92,102.22674560546875
93,90.7021484375
94,79.02035522460938
95,87.1072006225586
96,87.08577728271484
97,69.1072006225586
98,97.71607971191406
99,77.36471557617188
100,88.08873748779297
101,94.62065887451172
102,82.88542175292969
103,63.40391159057617
104,82.1946792602539
105,74.17186737060547
106,67.87371063232422
107,73.91808319091797
108,91.38322448730469
109,76.86597442626953
110,89.95453643798828
111,89.1780776977539
112,89.59129333496094
113,79.47698974609375
114,88.12567138671875
115,80.07438659667969
116,72.81568908691406
117,66.76079559326172
118,68.49671936035156
119,65.55448150634766
120,74.18428802490234
121,67.47685241699219
122,71.54720306396484
123,83.87252044677734
124,86.30735778808594
125,77.44522857666016
126,81.27750396728516
127,96.28694915771484
128,91.5206298828125
129,87.02218627929688
130,69.4561996459961
131,76.81060028076172
132,70.77790069580078
133,72.50761413574219
134,65.74281311035156
135,70.87271118164062
136,75.24480438232422
137,66.94637298583984
138,95.05463409423828
139,90.79867553710938
140,86.4470443725586
141,76.95316314697266
142,77.34439086914062
143,83.30631256103516
144,85.46649169921875
145,72.09129333496094
146,67.68974304199219
147,71.96021270751953
148,79.27108764648438
149,90.146240234375
150,86.11858367919922
151,73.36418914794922
152,79.9160385131836
153,66.42574310302734
154,88.92130279541016
155,79.20252227783203
156,100.62686920166016
157,70.72675323486328
158,82.97268676757812
159,90.58209228515625
160,89.45075988769531
161,75.56670379638672
162,70.25900268554688
163,84.22723388671875
164,82.20188903808594
165,91.70896911621094
166,68.07059478759766
167,87.05381774902344
168,66.94713592529297
169,94.51887512207031
170,87.46387481689453
171,66.02747344970703
172,70.04093933105469
173,74.7293930053711
174,72.9157943725586
175,88.216796875
176,95.77607727050781
177,80.38735961914062
178,83.58724975585938
179,86.9537353515625
180,97.8377685546875
181,87.26411437988281
182,109.74365234375
183,72.48502349853516
184,74.53968811035156
185,86.07691955566406
186,81.1069107055664
187,68.5167465209961
188,66.94957733154297
189,62.45490264892578
190,75.7651138305664
191,93.43541717529297
192,68.80471801757812
193,74.08018493652344
194,103.21984100341797
195,81.6194839477539
196,78.08914947509766
197,70.34446716308594
198,109.36158752441406
199,62.89417266845703
200,89.7135009765625
201,76.70448303222656
202,82.5719223022461
203,82.56900024414062
204,86.57550048828125
205,82.26854705810547
206,84.53701782226562
207,77.33073425292969
208,76.1976089477539
209,99.20121765136719
210,82.63109588623047
211,63.362518310546875
212,67.14653015136719
213,100.67741394042969
214,97.61036682128906
215,82.66531372070312
216,88.87322235107422
217,97.45010375976562
218,83.06401062011719
219,64.84961700439453
220,74.6122817993164
221,76.1698226928711
222,75.85084533691406
223,80.51414489746094
224,89.43135070800781
225,82.4461669921875
226,78.10044860839844
227,58.81662368774414
228,101.95799255371094
229,71.00921630859375
230,64.98921966552734
231,110.60025787353516
232,82.84188842773438
233,56.699302673339844
234,82.37725830078125
235,63.142662048339844
236,92.39732360839844
237,90.39200592041016
238,91.41805267333984
239,75.51393127441406
240,88.36138153076172
241,86.54310607910156
242,67.17208862304688
243,95.48350524902344
244,85.88880920410156
245,87.8448486328125
246,76.8125228881836
247,91.46812438964844
248,91.50980377197266
249,81.1769790649414
250,79.64539337158203
251,83.04988098144531
252,89.06848907470703
253,88.57551574707031
254,79.03402709960938
255,62.859291076660156
256,127.40991973876953
257,67.89987182617188
258,81.96759033203125
259,81.70023345947266
260,92.69522857666016
261,86.23928833007812
262,76.925537109375
263,95.0779800415039
264,76.95645141601562
265,80.32937622070312
266,79.21647644042969
267,71.95988464355469
268,70.82938385009766
269,72.3716812133789
270,72.95867156982422
271,80.2866439819336
272,61.778621673583984
273,72.38595581054688
274,62.77477264404297
275,80.03129577636719
276,82.42715454101562
277,69.15729522705078
278,78.86076354980469
279,94.61144256591797
280,68.51152038574219
281,79.18408203125
282,85.99878692626953
283,91.89273071289062
284,86.55342864990234
285,89.43167114257812
286,92.66127014160156
287,89.40978240966797
288,83.14850616455078
289,79.16446685791016
290,94.70596313476562
291,85.51789093017578
292,67.99751281738281
293,91.54279327392578
294,98.94850158691406
295,82.1480712890625
296,64.43521118164062
297,90.07122039794922
298,62.11498260498047
299,109.81680297851562
300,73.80827331542969
301,94.45377349853516
302,64.38025665283203
303,98.08842468261719
304,69.03230285644531
305,75.62776947021484
306,70.26934814453125
307,92.91865539550781
308,76.76917266845703
309,58.797821044921875
310,74.62993621826172
311,65.5555648803711
312,78.48026275634766
313,58.68537902832031
314,89.25361633300781
315,109.81317901611328
316,90.15898895263672
317,91.40544891357422
318,100.72457885742188
319,76.7572021484375
320,87.0455322265625
321,71.77607727050781
322,90.69918823242188
323,76.73432159423828
324,77.11479187011719
325,73.58378601074219
326,84.5921630859375
327,96.08708953857422
328,70.29960632324219
329,74.34992980957031
330,71.40580749511719
331,77.6178207397461
332,63.39635467529297
333,101.83981323242188
334,104.25143432617188
335,80.1965103149414
336,112.27832794189453
337,83.24057006835938
338,74.53214263916016
339,86.68856811523438
340,87.59870910644531
341,78.84262084960938
342,75.90254974365234
343,90.36280822753906
344,91.53448486328125
345,68.95402526855469
346,78.11988830566406
347,90.05461120605469
348,80.6900634765625
349,77.60401916503906
350,68.01456451416016
351,89.72830200195312
352,61.40443420410156
353,67.22007751464844
354,63.798702239990234
355,96.5302734375
356,109.45919036865234
357,82.9548110961914
358,89.68984985351562
359,90.73780059814453
360,90.54630279541016
361,96.36856842041016
362,82.8901596069336
363,71.4325180053711
364,86.83171081542969
365,62.68086624145508
366,84.93800354003906
367,86.94506072998047
368,80.16548156738281
369,80.6692886352539
370,66.14271545410156
371,59.16728973388672
372,89.04121398925781
373,97.23270416259766
374,82.61922454833984
375,72.68956756591797
376,80.73847198486328
377,67.01805114746094
378,74.54107666015625
379,75.24907684326172
380,82.59461975097656
381,82.10848236083984
382,97.3809814453125
383,64.09661865234375
384,81.91925048828125
385,70.13546752929688
386,95.63589477539062
387,77.2909927368164
388,82.66870880126953
389,91.78865051269531
390,95.3843994140625
391,75.59496307373047
392,81.89193725585938
393,85.71986389160156
394,83.30780029296875
395,85.22261047363281
396,61.945068359375
397,91.56208801269531
398,76.47439575195312
399,93.30702209472656
400,70.95671081542969
401,100.6103744506836
402,68.55883026123047
403,78.77529907226562
404,76.43624877929688
405,88.31620788574219
406,65.14015197753906
407,81.60653686523438
408,79.02255249023438
409,83.25116729736328
410,66.58381652832031
411,68.6314468383789
412,74.68717193603516
413,80.783935546875
414,97.2236099243164
415,68.42008209228516
416,65.06112670898438
417,76.41349792480469
418,81.44489288330078
419,68.98790740966797
420,98.18827056884766
421,81.12113952636719
422,83.13568115234375
423,99.2790298461914
424,110.07228088378906
425,67.52063751220703
426,76.4347152709961
427,73.53605651855469
428,69.5445785522461
429,81.22195434570312
430,100.50859069824219
431,56.83382034301758
432,71.07923889160156
433,76.886962890625
434,97.33062744140625
435,109.1137924194336
436,77.09540557861328
437,71.10538482666016
438,67.63877868652344
439,100.32061767578125
440,79.25045776367188
441,92.54080963134766
442,71.98524475097656
443,91.98487091064453
444,75.7509536743164
445,92.02554321289062
446,88.08787536621094
447,102.1146469116211
448,103.0447006225586
449,87.88764190673828
450,64.2041015625
451,80.29815673828125
452,67.87919616699219
453,87.651123046875
454,75.07302856445312
455,76.24516296386719
456,65.6572036743164
457,68.1800308227539
458,108.96546936035156
459,70.5018310546875
460,79.135009765625
461,65.59490966796875
462,71.75379180908203
463,71.97929382324219
464,56.558746337890625
465,74.54873657226562
466,93.66761779785156
467,84.66201782226562
468,82.25885009765625
469,72.77879333496094
470,87.562744140625
471,77.1882553100586
472,68.3544692993164
473,89.77230834960938
474,81.04120635986328
475,91.0838623046875
476,76.29450225830078
477,91.11849975585938
478,103.01678466796875
479,66.92747497558594
480,91.56070709228516
481,80.95877075195312
482,80.17181396484375
483,72.34333801269531
484,92.83943176269531
485,88.7569351196289
